province,winner_f,winner_m,mdc_wins,zanu_wins,total_valid_votes,total_votes,rejected_votes
Bulawayo,2,10,11,0,131995,133695,1700
Harare,4,25,23,6,441619,448702,7083
Manicaland,3,23,4,22,457206,467937,10731
Mashonaland Central,2,15,0,18,380963,386956,6086
Mashonaland East,4,19,0,23,418895,426087,7517
Mashonaland West,1,21,1,20,367240,374056,7727
Masvingo,1,25,0,26,407200,415141,8749
Matabeleland North,3,10,6,7,196313,203477,7164
Matabeleland South,1,12,0,13,156077,160083,4006
Midlands,4,24,3,25,432924,442242,9398
